id,danji_name,sido,sigungu,dong,address2,new_address,house_count,dong_count,build_ym
2261,우방,서울특별시,강서구,가양동,448-9,서울 강서구 양천로 521,137세대,1개동,1999년 03월
2262,가양중앙하이츠,서울특별시,강서구,가양동,1467,서울 강서구 허준로 55-20,164세대,3개동,1999년 04월
2263,한사랑삼성2차,서울특별시,강서구,등촌동,634-2,서울 강서구 공항대로59길 64,339세대,5개동,1999년 06월
2311,등촌서광,서울특별시,강서구,등촌동,638,서울 강서구 공항대로45길 68-6,430세대,6개동,1999년 04월
2313,등촌코오롱,서울특별시,강서구,등촌동,642,서울 강서구 화곡로66길 90,191세대,1개동,1999년 06월
2314,한사랑삼성1차,서울특별시,강서구,등촌동,632-4,서울 강서구 양천로66길 6,244세대,3개동,1997년 12월
2316,등촌주공8단지,서울특별시,강서구,등촌동,707,서울 강서구 공항대로43길 104,445세대,5개동,1994년 11월
2317,태영,서울특별시,강서구,등촌동,632-2,서울 강서구 양천로 590,186세대,3개동,1998년 06월
2318,벽산,서울특별시,강서구,마곡동,429,서울 강서구 양천로47길 118,479세대,8개동,1999년 06월
2349,한숲마을대림,서울특별시,강서구,방화동,862,서울 강서구 방화대로50길 7,206세대,3개동,1999년 08월
2350,도시개발12단지,서울특별시,강서구,방화동,852,서울 강서구 양천로6길 28,930세대,8개동,1994년 05월
2351,장미,서울특별시,강서구,방화동,841,서울 강서구 양천로 125,387세대,3개동,1994년 07월
2405,염창현대2차,서울특별시,강서구,염창동,249-11,서울 강서구 양천로73길 6,106세대,1개동,1993년 12월
2436,성현동아,서울특별시,관악구,봉천동,1703,서울 관악구 관악로 285,"1,261세대",10개동,2000년 05월
2437,봉천우성,서울특별시,관악구,봉천동,1706,서울 관악구 관악로30길 12,"1,597세대",8개동,2000년 12월
2457,신림동부,서울특별시,관악구,신림동,1695,서울 관악구 신원로 26,592세대,4개동,1993년 07월
2458,현대,서울특별시,관악구,신림동,255-189,서울 관악구 대학20길 27,336세대,5개동,1991년 10월
2487,로얄동아,서울특별시,광진구,자양동,644,서울 광진구 뚝섬로52마길 56,322세대,4개동,1999년 09월
2488,자양5차현대,서울특별시,광진구,자양동,642,서울 광진구 뚝섬로54길 74,271세대,3개동,1998년 06월
2489,한라,서울특별시,광진구,자양동,762,서울 광진구 뚝섬로33길 20,329세대,2개동,1996년 08월
2490,대동,서울특별시,광진구,자양동,784-1,서울 광진구 뚝섬로31길 11,314세대,4개동,1999년 03월
2491,우성1차,서울특별시,광진구,자양동,579,서울 광진구 뚝섬로 569,656세대,6개동,1988년 09월
2492,우성7차,서울특별시,광진구,자양동,783-1,서울 광진구 아차산로36길 35,625세대,5개동,1998년 07월
2493,자양한양,서울특별시,광진구,자양동,695,서울 광진구 구의강변로 11,444세대,6개동,1983년 05월
2494,자양현대3차,서울특별시,광진구,자양동,670,서울 광진구 뚝섬로56가길 10,439세대,2개동,1996년 12월
2537,개봉한진타운,서울특별시,구로구,개봉동,478,서울 구로구 개봉로3길 87,"1,371세대",13개동,2000년 01월
2573,동아한신,서울특별시,구로구,고척동,327,서울 구로구 중앙로6길 17,355세대,4개동,2000년 04월
2574,산업인,서울특별시,구로구,고척동,57-9,서울 구로구 경인로47다길 43,342세대,10개동,1976년 07월
2575,센츄리,서울특별시,구로구,고척동,320,서울 구로구 중앙로12길 12,391세대,5개동,1994년 03월
2576,구로두산,서울특별시,구로구,구로동,1265,서울 구로구 도림로 59,"1,285세대",10개동,1998년 11월
2598,극동,서울특별시,구로구,구로동,314,서울 구로구 구로중앙로7길 28,493세대,4개동,1984년 12월
2599,구로현대,서울특별시,구로구,구로동,1256,서울 구로구 디지털로 319,591세대,5개동,1992년 05월
2600,럭키,서울특별시,구로구,구로동,1257,서울 구로구 도림로 107,427세대,2개동,1992년 06월
2601,보광,서울특별시,구로구,구로동,440,서울 구로구 가마산로 231,340세대,9개동,1984년 06월
2615,현대,서울특별시,구로구,구로동,74-30,서울 구로구 구로중앙로18길 68,397세대,3개동,1988년 06월
2616,이화우성,서울특별시,구로구,구로동,1260,서울 구로구 도림로22길 8,497세대,5개동,1998년 07월
2617,구로주공1차,서울특별시,구로구,구로동,685-222,서울 구로구 구일로4길 65,"1,400세대",13개동,1986년 06월
2618,중앙하이츠,서울특별시,구로구,구로동,685-124,서울 구로구 구일로8길 92,579세대,6개동,1987년 11월
2643,"신도림대림1,2차",서울특별시,구로구,신도림동,642,서울 구로구 신도림로 16,"2,298세대",27개동,1999년 11월
2644,신도림동아1차,서울특별시,구로구,신도림동,643,서울 구로구 신도림로 87,"1,095세대",11개동,1999년 11월
2680,동부골든,서울특별시,구로구,오류동,338,서울 구로구 고척로 49,"1,236세대",10개동,1998년 12월
2681,벽산1단지,서울특별시,금천구,시흥동,1010,서울 금천구 금하로 793,"2,336세대",16개동,2000년 02월
2720,비선,서울특별시,노원구,공릉동,109,서울 노원구 화랑로51길 78,700세대,7개동,1999년 07월
2721,태강,서울특별시,노원구,공릉동,81,서울 노원구 공릉로34길 38,"1,676세대",21개동,1999년 07월
2722,공릉우성아파트,서울특별시,노원구,공릉동,738,서울 노원구 동일로198길 10,363세대,3개동,1995년 12월
2759,동신,서울특별시,노원구,공릉동,745,서울 노원구 공릉로 211,452세대,6개동,1999년 12월
2760,공릉2단지라이프,서울특별시,노원구,공릉동,707,서울 노원구 동일로198가길 149,660세대,4개동,1994년 12월
2761,공릉3단지라이프,서울특별시,노원구,공릉동,715,서울 노원구 섬밭로 123,840세대,4개동,1994년 12월
2762,북부현대,서울특별시,노원구,상계동,1273,서울 노원구 동일로237바길 17,105세대,1개동,1996년 02월
2763,성림,서울특별시,노원구,상계동,1320,서울 노원구 덕릉로127길 25,240세대,2개동,2006년 06월
2764,대동청솔,서울특별시,노원구,상계동,1284,서울 노원구 상계로26길 20,358세대,3개동,2001년 05월
2765,상계대림,서울특별시,노원구,상계동,172,서울 노원구 상계로 193-14,675세대,5개동,1989년 08월
2766,미주동방벽운,서울특별시,노원구,상계동,1265,서울 노원구 동일로250길 18,492세대,12개동,2000년 06월
2767,미도,서울특별시,노원구,상계동,766-1,서울 노원구 덕릉로 459-14,600세대,3개동,1988년 04월
2768,벽산,서울특별시,노원구,상계동,173-1,서울 노원구 한글비석로 396,"1,590세대",9개동,1989년 05월
2769,한강대우,서울특별시,용산구,이촌동,415,서울 용산구 이촌로 181,834세대,10개동,2000년 03월
2770,리버힐삼성,서울특별시,용산구,산천동,193,서울 용산구 효창원로 17,"1,102세대",14개동,2001년 01월
2771,한강타운,서울특별시,용산구,산천동,204,서울 용산구 새창로8길 157,289세대,3개동,2001년 02월
2772,강변삼성스위트,서울특별시,용산구,원효로4가,178,서울 용산구 원효로2가 70-2,300세대,3개동,1999년 12월
2773,강촌,서울특별시,용산구,이촌동,402,서울 용산구 이촌로81길 14,"1,001세대",9개동,1998년 01월
2774,경향파크,서울특별시,은평구,구산동,162-1,서울 은평구 갈현로15길 53,171세대,2개동,1989년 11월
2775,용마금호타운,서울특별시,중랑구,면목동,494,서울 중랑구 용마산로 348,440세대,5개동,1992년 12월
2776,용마한신,서울특별시,중랑구,면목동,1077-1,서울 중랑구 사가정로71길 19,565세대,4개동,1990년 06월
2777,면목한신,서울특별시,중랑구,면목동,193-1,서울 중랑구 동일로101길 63,"1,362세대",10개동,1987년 12월
2778,면목현대,서울특별시,중랑구,면목동,1502,서울 중랑구 용마산로 252,626세대,4개동,1994년 09월
2779,신내4단지,서울특별시,중랑구,묵동,13,서울 중랑구 숙선옹주로 85,"1,070세대",12개동,1996년 06월
2780,신내5단지두산대림,서울특별시,중랑구,묵동,20,서울 중랑구 신내로15길 196,"1,244세대",28개동,1995년 12월
2781,동부,서울특별시,중랑구,상봉동,495,서울 중랑구 신내로7가길 31,368세대,2개동,1999년 04월
2782,건영1차,서울특별시,중랑구,상봉동,1,서울 중랑구 봉화산로48길 62,408세대,4개동,1997년 08월
2783,건영2차,서울특별시,중랑구,상봉동,63,서울 중랑구 신내로7나길 24,"1,113세대",14개동,1996년 11월
